sample_id,signer_id,symbol,symbol_type,handedness,repetition,hold_start_frame,hold_end_frame,landmark_path,source_video,split
VSL_ALPHA_S02_A_REP01,S02,A,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_A_REP01.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_A_REP01.mp4,val
VSL_ALPHA_S02_A_REP02,S02,A,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_A_REP02.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_A_REP02.mp4,val
VSL_ALPHA_S02_A_REP03,S02,A,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_A_REP03.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_A_REP03.mp4,val
VSL_ALPHA_S02_A_REP04,S02,A,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_A_REP04.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_A_REP04.mp4,val
VSL_ALPHA_S02_A_REP05,S02,A,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_A_REP05.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_A_REP05.mp4,val
VSL_ALPHA_S02_B_REP01,S02,B,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_B_REP01.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_B_REP01.mp4,val
VSL_ALPHA_S02_B_REP02,S02,B,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_B_REP02.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_B_REP02.mp4,val
VSL_ALPHA_S02_B_REP03,S02,B,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_B_REP03.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_B_REP03.mp4,val
VSL_ALPHA_S02_B_REP04,S02,B,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_B_REP04.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_B_REP04.mp4,val
VSL_ALPHA_S02_B_REP05,S02,B,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S02/VSL_ALPHA_S02_B_REP05.npz,data/vsl_alphabet_pilot/videos/S02/VSL_ALPHA_S02_B_REP05.mp4,val
